core_num,traffic_size(KB),bandwidth(GB/s),efficiency
1,3.125,70.353,0.242596552
1,6.25,144.1025,0.496905172
1,10,221.71625,0.764538793
1,12.5,267.4225,0.922146552
1,40,289.665,0.998844828
